,scenario,bus_idx,installed_kW,violation
0,EV_bus_2_A,2,0.0,Overvoltage
1,EV_bus_2_A,2,0.5,Overvoltage
2,EV_bus_2_A,2,1.0,Overvoltage
3,EV_bus_2_A,2,1.5,Overvoltage
4,EV_bus_2_A,2,2.0,Overvoltage
5,EV_bus_2_A,2,2.5,Overvoltage
6,EV_bus_2_A,2,3.0,Power Flow nr did not converge after 100 iterations!
7,EV_bus_2_B,2,0.0,Overvoltage
8,EV_bus_2_B,2,0.5,Overvoltage
9,EV_bus_2_B,2,1.0,Overvoltage
10,EV_bus_2_B,2,1.5,Power Flow nr did not converge after 100 iterations!
11,EV_bus_2_C,2,0.0,Overvoltage
12,EV_bus_2_C,2,0.5,Overvoltage
13,EV_bus_2_C,2,1.0,Overvoltage
14,EV_bus_2_C,2,1.5,Overvoltage
15,EV_bus_2_C,2,2.0,Overvoltage
16,EV_bus_2_C,2,2.5,Overvoltage
17,EV_bus_2_C,2,3.0,Overvoltage
18,EV_bus_2_C,2,3.5,Overvoltage
19,EV_bus_2_C,2,4.0,Power Flow nr did not converge after 100 iterations!
20,EV_bus_3_A,3,0.0,Overvoltage
21,EV_bus_3_A,3,0.5,Overvoltage
22,EV_bus_3_A,3,1.0,Overvoltage
23,EV_bus_3_A,3,1.5,Overvoltage
24,EV_bus_3_A,3,2.0,Overvoltage
25,EV_bus_3_A,3,2.5,Overvoltage
26,EV_bus_3_A,3,3.0,Power Flow nr did not converge after 100 iterations!
27,EV_bus_3_B,3,0.0,Overvoltage
28,EV_bus_3_B,3,0.5,Overvoltage
29,EV_bus_3_B,3,1.0,Overvoltage
30,EV_bus_3_B,3,1.5,Power Flow nr did not converge after 100 iterations!
31,EV_bus_3_C,3,0.0,Overvoltage
32,EV_bus_3_C,3,0.5,Overvoltage
33,EV_bus_3_C,3,1.0,Overvoltage
34,EV_bus_3_C,3,1.5,Overvoltage
35,EV_bus_3_C,3,2.0,Overvoltage
36,EV_bus_3_C,3,2.5,Overvoltage
37,EV_bus_3_C,3,3.0,Overvoltage
38,EV_bus_3_C,3,3.5,Overvoltage
39,EV_bus_3_C,3,4.0,Power Flow nr did not converge after 100 iterations!
40,EV_bus_4_A,4,0.0,Overvoltage
41,EV_bus_4_A,4,0.5,Overvoltage
42,EV_bus_4_A,4,1.0,Overvoltage
43,EV_bus_4_A,4,1.5,Overvoltage
44,EV_bus_4_A,4,2.0,Overvoltage
45,EV_bus_4_A,4,2.5,Overvoltage
46,EV_bus_4_A,4,3.0,Power Flow nr did not converge after 100 iterations!
47,EV_bus_4_B,4,0.0,Overvoltage
48,EV_bus_4_B,4,0.5,Overvoltage
49,EV_bus_4_B,4,1.0,Overvoltage
50,EV_bus_4_B,4,1.5,Power Flow nr did not converge after 100 iterations!
51,EV_bus_4_C,4,0.0,Overvoltage
52,EV_bus_4_C,4,0.5,Overvoltage
53,EV_bus_4_C,4,1.0,Overvoltage
54,EV_bus_4_C,4,1.5,Overvoltage
55,EV_bus_4_C,4,2.0,Overvoltage
56,EV_bus_4_C,4,2.5,Overvoltage
57,EV_bus_4_C,4,3.0,Overvoltage
58,EV_bus_4_C,4,3.5,Overvoltage
59,EV_bus_4_C,4,4.0,Power Flow nr did not converge after 100 iterations!
60,EV_bus_5_A,5,0.0,Overvoltage
61,EV_bus_5_A,5,0.5,Overvoltage
62,EV_bus_5_A,5,1.0,Overvoltage
63,EV_bus_5_A,5,1.5,Overvoltage
64,EV_bus_5_A,5,2.0,Overvoltage
65,EV_bus_5_A,5,2.5,Overvoltage
66,EV_bus_5_A,5,3.0,Power Flow nr did not converge after 100 iterations!
67,EV_bus_5_B,5,0.0,Overvoltage
68,EV_bus_5_B,5,0.5,Overvoltage
69,EV_bus_5_B,5,1.0,Overvoltage
70,EV_bus_5_B,5,1.5,Power Flow nr did not converge after 100 iterations!
71,EV_bus_5_C,5,0.0,Overvoltage
72,EV_bus_5_C,5,0.5,Overvoltage
