,scenario,bus_idx,installed_kW,violation
0,PVEV_bus_2_A,2,0.0,Overvoltage
1,PVEV_bus_2_A,2,0.5,Overvoltage
2,PVEV_bus_2_A,2,1.0,Overvoltage
3,PVEV_bus_2_A,2,1.5,Overvoltage
4,PVEV_bus_2_A,2,2.0,Overvoltage
5,PVEV_bus_2_A,2,2.5,Overvoltage
6,PVEV_bus_2_A,2,3.0,Overvoltage
7,PVEV_bus_2_A,2,3.5,Overvoltage
8,PVEV_bus_2_A,2,4.0,Overvoltage
9,PVEV_bus_2_A,2,4.5,Overvoltage
10,PVEV_bus_2_A,2,5.0,Overvoltage
11,PVEV_bus_2_A,2,5.5,Overvoltage
12,PVEV_bus_2_A,2,6.0,Overvoltage
13,PVEV_bus_2_A,2,6.5,Overvoltage
14,PVEV_bus_2_A,2,7.0,Overvoltage
15,PVEV_bus_2_A,2,7.5,Overvoltage
16,PVEV_bus_2_A,2,8.0,Overvoltage
17,PVEV_bus_2_A,2,8.5,Overvoltage
18,PVEV_bus_2_A,2,9.0,Overvoltage
19,PVEV_bus_2_A,2,9.5,Overvoltage
20,PVEV_bus_2_A,2,10.0,Overvoltage
21,PVEV_bus_2_A,2,10.5,Overvoltage
22,PVEV_bus_2_A,2,11.0,Overvoltage
23,PVEV_bus_2_A,2,11.5,Overvoltage
24,PVEV_bus_2_A,2,12.0,Overvoltage
25,PVEV_bus_2_A,2,12.5,Overvoltage
26,PVEV_bus_2_A,2,13.0,Overvoltage
27,PVEV_bus_2_A,2,13.5,Overvoltage
28,PVEV_bus_2_A,2,14.0,Overvoltage
29,PVEV_bus_2_A,2,14.5,Overvoltage
30,PVEV_bus_2_A,2,15.0,Overvoltage
31,PVEV_bus_2_A,2,15.5,Overvoltage
32,PVEV_bus_2_A,2,16.0,Overvoltage
33,PVEV_bus_2_A,2,16.5,Overvoltage
34,PVEV_bus_2_A,2,17.0,Overvoltage
35,PVEV_bus_2_A,2,17.5,Overvoltage
36,PVEV_bus_2_A,2,18.0,Overvoltage
37,PVEV_bus_2_A,2,18.5,Overvoltage
38,PVEV_bus_2_A,2,19.0,Overvoltage
39,PVEV_bus_2_A,2,19.5,Overvoltage
40,PVEV_bus_2_A,2,20.0,Overvoltage
41,PVEV_bus_2_A,2,20.5,Overvoltage
42,PVEV_bus_2_A,2,21.0,Overvoltage
43,PVEV_bus_2_A,2,21.5,Overvoltage
44,PVEV_bus_2_A,2,22.0,Overvoltage
45,PVEV_bus_2_A,2,22.5,Overvoltage
46,PVEV_bus_2_A,2,23.0,Overvoltage
47,PVEV_bus_2_A,2,23.5,Overvoltage
48,PVEV_bus_2_A,2,24.0,Overvoltage
49,PVEV_bus_2_A,2,24.5,Overvoltage
50,PVEV_bus_2_A,2,25.0,Overvoltage
51,PVEV_bus_2_A,2,25.5,Overvoltage
52,PVEV_bus_2_A,2,26.0,Overvoltage
53,PVEV_bus_2_A,2,26.5,Overvoltage
54,PVEV_bus_2_A,2,27.0,Overvoltage
55,PVEV_bus_2_A,2,27.5,Overvoltage
56,PVEV_bus_2_A,2,28.0,Overvoltage
57,PVEV_bus_2_A,2,28.5,Overvoltage
58,PVEV_bus_2_A,2,29.0,Overvoltage
59,PVEV_bus_2_A,2,29.5,Overvoltage
60,PVEV_bus_2_A,2,30.0,Overvoltage
61,PVEV_bus_2_B,2,0.0,Overvoltage
62,PVEV_bus_2_B,2,0.5,Overvoltage
63,PVEV_bus_2_B,2,1.0,Overvoltage
64,PVEV_bus_2_B,2,1.5,Overvoltage
65,PVEV_bus_2_B,2,2.0,Overvoltage
66,PVEV_bus_2_B,2,2.5,Overvoltage
67,PVEV_bus_2_B,2,3.0,Overvoltage
68,PVEV_bus_2_B,2,3.5,Overvoltage
69,PVEV_bus_2_B,2,4.0,Overvoltage
70,PVEV_bus_2_B,2,4.5,Overvoltage
71,PVEV_bus_2_B,2,5.0,Overvoltage
72,PVEV_bus_2_B,2,5.5,Overvoltage
73,PVEV_bus_2_B,2,6.0,Overvoltage
74,PVEV_bus_2_B,2,6.5,Overvoltage
75,PVEV_bus_2_B,2,7.0,Overvoltage
76,PVEV_bus_2_B,2,7.5,Overvoltage
77,PVEV_bus_2_B,2,8.0,Overvoltage
78,PVEV_bus_2_B,2,8.5,Overvoltage
79,PVEV_bus_2_B,2,9.0,Overvoltage
80,PVEV_bus_2_B,2,9.5,Overvoltage
81,PVEV_bus_2_B,2,10.0,Overvoltage
82,PVEV_bus_2_B,2,10.5,Overvoltage
83,PVEV_bus_2_B,2,11.0,Overvoltage
84,PVEV_bus_2_B,2,11.5,Overvoltage
85,PVEV_bus_2_B,2,12.0,Overvoltage
86,PVEV_bus_2_B,2,12.5,Overvoltage
87,PVEV_bus_2_B,2,13.0,Overvoltage
88,PVEV_bus_2_B,2,13.5,Overvoltage
89,PVEV_bus_2_B,2,14.0,Overvoltage
90,PVEV_bus_2_B,2,14.5,Overvoltage
91,PVEV_bus_2_B,2,15.0,Overvoltage
92,PVEV_bus_2_B,2,15.5,Overvoltage
93,PVEV_bus_2_B,2,16.0,Overvoltage
94,PVEV_bus_2_B,2,16.5,Overvoltage
95,PVEV_bus_2_B,2,17.0,Overvoltage
96,PVEV_bus_2_B,2,17.5,Overvoltage
97,PVEV_bus_2_B,2,18.0,Overvoltage
98,PVEV_bus_2_B,2,18.5,Overvoltage
