,scenario,bus_idx,installed_kW,violation
0,PV_bus_2_A,2,0.0,Overvoltage
1,PV_bus_2_A,2,0.5,Overvoltage
2,PV_bus_2_A,2,1.0,Overvoltage
3,PV_bus_2_A,2,1.5,Overvoltage
4,PV_bus_2_A,2,2.0,Overvoltage
5,PV_bus_2_A,2,2.5,Overvoltage
6,PV_bus_2_A,2,3.0,Overvoltage
7,PV_bus_2_A,2,3.5,Overvoltage
8,PV_bus_2_A,2,4.0,Overvoltage
9,PV_bus_2_A,2,4.5,Overvoltage
10,PV_bus_2_A,2,5.0,Overvoltage
11,PV_bus_2_A,2,5.5,Overvoltage
12,PV_bus_2_A,2,6.0,Overvoltage
13,PV_bus_2_A,2,6.5,Overvoltage
14,PV_bus_2_A,2,7.0,Overvoltage
15,PV_bus_2_A,2,7.5,Overvoltage
16,PV_bus_2_A,2,8.0,Overvoltage
17,PV_bus_2_A,2,8.5,Overvoltage
18,PV_bus_2_A,2,9.0,Overvoltage
19,PV_bus_2_A,2,9.5,Overvoltage
20,PV_bus_2_A,2,10.0,Power Flow nr did not converge after 100 iterations!
21,PV_bus_2_B,2,0.0,Overvoltage
22,PV_bus_2_B,2,0.5,Overvoltage
23,PV_bus_2_B,2,1.0,Overvoltage
24,PV_bus_2_B,2,1.5,Overvoltage
25,PV_bus_2_B,2,2.0,Overvoltage
26,PV_bus_2_B,2,2.5,Overvoltage
27,PV_bus_2_B,2,3.0,Overvoltage
28,PV_bus_2_B,2,3.5,Overvoltage
29,PV_bus_2_B,2,4.0,Overvoltage
30,PV_bus_2_B,2,4.5,Overvoltage
31,PV_bus_2_B,2,5.0,Overvoltage
32,PV_bus_2_B,2,5.5,Overvoltage
33,PV_bus_2_B,2,6.0,Power Flow nr did not converge after 100 iterations!
34,PV_bus_2_C,2,0.0,Overvoltage
35,PV_bus_2_C,2,0.5,Overvoltage
36,PV_bus_2_C,2,1.0,Overvoltage
37,PV_bus_2_C,2,1.5,Overvoltage
38,PV_bus_2_C,2,2.0,Overvoltage
39,PV_bus_2_C,2,2.5,Overvoltage
40,PV_bus_2_C,2,3.0,Overvoltage
41,PV_bus_2_C,2,3.5,Power Flow nr did not converge after 100 iterations!
42,PV_bus_3_A,3,0.0,Overvoltage
43,PV_bus_3_A,3,0.5,Overvoltage
44,PV_bus_3_A,3,1.0,Overvoltage
45,PV_bus_3_A,3,1.5,Overvoltage
46,PV_bus_3_A,3,2.0,Overvoltage
47,PV_bus_3_A,3,2.5,Overvoltage
48,PV_bus_3_A,3,3.0,Overvoltage
49,PV_bus_3_A,3,3.5,Overvoltage
50,PV_bus_3_A,3,4.0,Overvoltage
51,PV_bus_3_A,3,4.5,Overvoltage
52,PV_bus_3_A,3,5.0,Overvoltage
53,PV_bus_3_A,3,5.5,Overvoltage
54,PV_bus_3_A,3,6.0,Overvoltage
55,PV_bus_3_A,3,6.5,Overvoltage
56,PV_bus_3_A,3,7.0,Overvoltage
57,PV_bus_3_A,3,7.5,Overvoltage
58,PV_bus_3_A,3,8.0,Overvoltage
59,PV_bus_3_A,3,8.5,Overvoltage
60,PV_bus_3_A,3,9.0,Overvoltage
61,PV_bus_3_A,3,9.5,Overvoltage
62,PV_bus_3_A,3,10.0,Power Flow nr did not converge after 100 iterations!
63,PV_bus_3_B,3,0.0,Overvoltage
64,PV_bus_3_B,3,0.5,Overvoltage
65,PV_bus_3_B,3,1.0,Overvoltage
66,PV_bus_3_B,3,1.5,Overvoltage
67,PV_bus_3_B,3,2.0,Overvoltage
68,PV_bus_3_B,3,2.5,Overvoltage
69,PV_bus_3_B,3,3.0,Overvoltage
70,PV_bus_3_B,3,3.5,Overvoltage
71,PV_bus_3_B,3,4.0,Overvoltage
72,PV_bus_3_B,3,4.5,Overvoltage
73,PV_bus_3_B,3,5.0,Overvoltage
74,PV_bus_3_B,3,5.5,Overvoltage
