,scenario,bus_idx,installed_kW,violation
1,EV_bus_5_iter_0,5,1.2264489938574008,Overvoltage
2,EV_bus_7_iter_0,7,1.1712171803641294,Overvoltage
3,EV_bus_10_iter_0,10,1.3871348057507582,Overvoltage
4,EV_bus_11_iter_0,11,3.4435733530226056,Overvoltage
5,EV_bus_12_iter_0,12,2.04608607735931,Overvoltage
6,EV_bus_13_iter_0,13,2.600490898212676,Overvoltage
7,EV_bus_21_iter_0,21,3.8095558489991945,Overvoltage
8,EV_bus_25_iter_0,25,2.4527430623806534,Overvoltage
9,EV_bus_26_iter_0,26,4.953700325395067,Overvoltage
10,EV_bus_29_iter_0,29,2.70063847198648,Overvoltage
11,EV_bus_30_iter_0,30,4.106811889592196,Overvoltage
12,EV_bus_33_iter_0,33,1.8211173597279946,Overvoltage
13,EV_bus_34_iter_0,34,2.938772614240951,Overvoltage
14,EV_bus_37_iter_0,37,3.5819988143837276,Overvoltage
15,EV_bus_39_iter_0,39,2.661646224568541,Overvoltage
16,EV_bus_40_iter_0,40,2.2980362131855268,Overvoltage
17,EV_bus_42_iter_0,42,3.226299829576846,Overvoltage
18,EV_bus_45_iter_0,45,2.408960388815888,Overvoltage
19,EV_bus_46_iter_0,46,2.2767492691069866,Overvoltage
20,EV_bus_47_iter_0,47,4.724994785462117,Overvoltage
21,EV_bus_49_iter_0,49,3.2364208596848427,Overvoltage
22,EV_bus_50_iter_0,50,2.177994623538548,Overvoltage
23,EV_bus_52_iter_0,52,3.5633427369112356,Overvoltage
24,EV_bus_54_iter_0,54,3.244850382983366,Overvoltage
25,EV_bus_57_iter_0,57,4.440350086961084,Overvoltage
26,EV_bus_60_iter_0,60,4.740566938380562,Overvoltage
27,EV_bus_62_iter_0,62,3.9569334903748916,Overvoltage
28,EV_bus_64_iter_0,64,2.172237737322259,Overvoltage
29,EV_bus_66_iter_0,66,2.7003085385142693,Overvoltage
30,EV_bus_67_iter_0,67,1.699241278772735,Overvoltage
31,EV_bus_72_iter_0,72,3.7955428388385974,Overvoltage
32,EV_bus_73_iter_0,73,4.728974843625374,Overvoltage
33,EV_bus_75_iter_0,75,2.2134484573573605,Overvoltage
34,EV_bus_76_iter_0,76,1.9913345082477383,Overvoltage
35,EV_bus_77_iter_0,77,3.1844567428088197,Overvoltage
36,EV_bus_80_iter_0,80,4.17097804537503,Overvoltage
37,EV_bus_81_iter_0,81,2.4642840325550193,Overvoltage
38,EV_bus_83_iter_0,83,2.6929547048154734,Overvoltage
39,EV_bus_87_iter_0,87,3.425637624127999,Overvoltage
40,EV_bus_88_iter_0,88,4.018759943745086,Overvoltage
41,EV_bus_93_iter_0,93,1.9413271719210914,Overvoltage
42,EV_bus_95_iter_0,95,3.001852195006056,Overvoltage
43,EV_bus_96_iter_0,96,1.070369949940611,Overvoltage
44,EV_bus_97_iter_0,97,2.769870645561486,Overvoltage
45,EV_bus_102_iter_0,102,1.1445261584931035,Overvoltage
46,EV_bus_103_iter_0,103,4.391286047180727,Overvoltage
47,EV_bus_104_iter_0,104,4.386812832930788,Overvoltage
48,EV_bus_106_iter_0,106,1.482394770847585,Overvoltage
49,EV_bus_107_iter_0,107,1.481167949395553,Overvoltage
50,EV_bus_110_iter_0,110,2.7178487167168877,Overvoltage
51,EV_bus_112_iter_0,112,3.957450333492011,Overvoltage
52,EV_bus_113_iter_0,113,1.9684663100944988,Overvoltage
53,EV_bus_114_iter_0,114,4.841142077563193,Overvoltage
54,EV_bus_115_iter_0,115,3.4942640283201087,Overvoltage
55,EV_bus_116_iter_0,116,2.0063707476876673,Overvoltage
56,EV_bus_7_iter_1,7,2.9063058325609425,Overvoltage
