,scenario,bus_idx,installed_kW,violation
0,PVEV_bus_2_iter_0,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
1,PVEV_bus_2_iter_1,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
2,PVEV_bus_2_iter_2,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
3,PVEV_bus_2_iter_3,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
4,PVEV_bus_2_iter_4,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
5,PVEV_bus_2_iter_5,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
6,PVEV_bus_2_iter_6,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
7,PVEV_bus_2_iter_7,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
8,PVEV_bus_2_iter_8,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
9,PVEV_bus_2_iter_9,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
10,PVEV_bus_2_iter_10,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
11,PVEV_bus_2_iter_11,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
12,PVEV_bus_2_iter_12,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
13,PVEV_bus_2_iter_13,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
14,PVEV_bus_2_iter_14,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
15,PVEV_bus_2_iter_15,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
16,PVEV_bus_2_iter_16,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
17,PVEV_bus_2_iter_17,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
18,PVEV_bus_2_iter_18,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
19,PVEV_bus_2_iter_19,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
20,PVEV_bus_2_iter_20,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
21,PVEV_bus_2_iter_21,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
22,PVEV_bus_2_iter_22,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
23,PVEV_bus_2_iter_23,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
24,PVEV_bus_2_iter_24,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
25,PVEV_bus_2_iter_25,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
