,scenario,bus_idx,installed_kW,violation
1,PV_bus_5_iter_0,5,4.648673421127295,NaN values in results
2,PV_bus_7_iter_0,7,3.198244402205663,NaN values in results
3,PV_bus_10_iter_0,10,2.7723313326382635,NaN values in results
4,PV_bus_11_iter_0,11,4.052708306591509,NaN values in results
5,PV_bus_12_iter_0,12,3.468526039934607,NaN values in results
6,PV_bus_13_iter_0,13,4.928466959017589,NaN values in results
7,PV_bus_21_iter_0,21,2.4343330385354847,NaN values in results
8,PV_bus_25_iter_0,25,1.7117063212277066,NaN values in results
9,PV_bus_26_iter_0,26,1.6204843354790972,NaN values in results
10,PV_bus_29_iter_0,29,3.044154485182458,NaN values in results
11,PV_bus_30_iter_0,30,3.037882942708706,NaN values in results
12,PV_bus_33_iter_0,33,1.7152674251047397,NaN values in results
13,PV_bus_34_iter_0,34,4.416789331901905,NaN values in results
14,PV_bus_37_iter_0,37,4.442664374079834,NaN values in results
15,PV_bus_39_iter_0,39,2.3066856063827985,NaN values in results
16,PV_bus_40_iter_0,40,1.319581006155385,NaN values in results
17,PV_bus_42_iter_0,42,3.241387312164179,NaN values in results
18,PV_bus_45_iter_0,45,1.2627668755091013,NaN values in results
